song,artist,id
IMY2,Drake Featuring Kid Cudi,177
Yebba's Heartbreak,Drake & Yebba,178
Get Along Better,Drake Featuring Ty Dolla $ign,179
You Only Live Twice,Drake Featuring Lil Wayne & Rick Ross,180
Lalisa,Lisa,181
Fountains,Drake Featuring Tems,182
Single Saturday Night,Cole Swindell,183
We Didn't Have Much,Justin Moore,184
Jail,Kanye West,185
Fucking Fans,Drake,186
The Remorse,Drake,187
Ok Ok,Kanye West,188
Junya,Kanye West,189
Believe What I Say,Kanye West,190
Jonah,Kanye West,191
Jesus Lord,Kanye West,192
Motley Crew,Post Malone,193
Remote Control,Kanye West,194
God Breathed,Kanye West,195
Heartbreak Anniversary,Giveon,196
Forever After All,Luke Combs,197
Heaven And Hell,Kanye West,198
24,Kanye West,199
Pure Souls,Kanye West,200
No Child Left Behind,Kanye West,201
Donda,Kanye West,202
Keep My Spirit Alive,Kanye West,203
Jail Pt 2,Kanye West,204
"I Am Not A Woman, I'm A God",Halsey,205
New Again,Kanye West,206
Lord I Need You,Kanye West,207
Come To Life,Kanye West,208
Tell The Vision,Kanye West,209
Brutal,Olivia Rodrigo,210
AM,Nio Garcia X J Balvin X Bad Bunny,211
Repeat It,Lil Tecca & Gunna,212
Matt Hardy 999,Trippie Redd Featuring Juice WRLD,213
Blinding Lights,The Weeknd,214
Glad You Exist,Dan + Shay,215
Without You,The Kid LAROI,216
Astronaut In The Ocean,Masked Wolf,217
Rapstar,Polo G,218
Famous Friends,Chris Young + Kane Brown,219
Lil Bit,Nelly & Florida Georgia Line,220
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,221
Rich MF,Trippie Redd Featuring Lil Durk & Polo G,222
Already Won,Rod Wave Featuring Lil Durk,223
Betrayal,Trippie Redd Featuring Drake,224
Don't Go,"Skrillex, Justin Bieber & Don Toliver",225
Tombstone,Rod Wave,226
Visiting Hours,Ed Sheeran,227
Holy Smokes,Trippie Redd Featuring Lil Uzi Vert,228
Miss The Rage,Trippie Redd & Playboi Carti,229
You,Regard x Troye Sivan x Tate McRae,230
MP5,Trippie Redd Featuring SoFaygo,231
Paralyzed,Sueco,232
I Guess I'm In Love,Clinton Kane,233
Get Ready,Rod Wave Featuring Kodak Black,234
Danny Phantom,Trippie Redd Featuring XXXTENTACION,235
What's Wrong,Rod Wave,236
Demon Time,Trippie Redd Featuring Ski Mask The Slump God,237
Tick Tock,Young Thug,238
Permission To Dance,BTS,239
Time Heals,Rod Wave,240
Mind Of Melvin,YNW Melly Featuring Lil Uzi Vert,241
Papercuts,Machine Gun Kelly,242
SUVs (Black On Black),Jack Harlow & Pooh Shiesty,243
Straightenin,Migos,244
Blame It On You,Jason Aldean,245
Hats Off,"Lil Baby, Lil Durk & Travis Scott",246
Over The Top,Smiley Featuring Drake,247
Brainwashed,Tom MacDonald,248
my.life,"J. Cole, 21 Savage & Morray",249
WUSYANAME,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",250
Favorite Crime,Olivia Rodrigo,251
Outside,MO3 X OG Bobby Billions,252
Ball If I Want To,DaBaby,253
Next Girl,Carly Pearce,254
I Like Dat,T-Pain & Kehlani,255
Steal My Love,Dan + Shay,256
5500 Degrees,"EST Gee Featuring Lil Baby, 42 Dugg & Rylo Rodriguez",257
Telepatia,Kali Uchis,258
My Ex's Best Friend,Machine Gun Kelly X blackbear,259
NDA,Billie Eilish,260
EPMD 2,Nas Featuring Eminem & EPMD,261
Lose,KSI x Lil Wayne,262
I Hope Ur Miserable Until Ur Dead,Nessa Barrett,263
Not Sober,The Kid LAROI Featuring Polo G & Stunna Gambino,264
Happier,Olivia Rodrigo,265
Twerkulator,City Girls,266
Fiel,"Los Legendarios, Wisin & Jhay Cortez",267
Rare,Nas,268
Best Friend,Saweetie Featuring Doja Cat,269
Mood,24kGoldn Featuring iann dior,270
One Too Many,Keith Urban Duet With P!nk,271
Getting Older,Billie Eilish,272
Billie Bossa Nova,Billie Eilish,273
Oxytocin,Billie Eilish,274
I Didn't Change My Number,Billie Eilish,275
Way Less Sad,AJR,276
Lost Cause,Billie Eilish,277
Halley's Comet,Billie Eilish,278
My Future,Billie Eilish,279
Build A Bitch,Bella Poarch,280
From The Garden,Isaiah Rashad Featuring Lil Uzi Vert,281
Working,Tate McRae X Khalid,282
Wants And Needs,Drake Featuring Lil Baby,283
Settling Down,Miranda Lambert,284
Gone,Dierks Bentley,285
Red Light Green Light,DaBaby,286
Better Believe,"Belly, The Weeknd & Young Thug",287
Lick Back,EST Gee,288
Ski,Young Thug & Gunna,289
Minimum Wage,Blake Shelton,290
Still Chose You,The Kid LAROI Featuring Mustard,291
Drivers License,Olivia Rodrigo,292
Tell The Vision,Pop Smoke Featuring Kanye West & Pusha T,293
pov,Ariana Grande,294
Bout A Million,Pop Smoke Featuring 21 Savage & 42 Dugg,295
Mr. Jones,Pop Smoke Featuring Future,296
More Time,Pop Smoke,297
Manslaughter,Pop Smoke Featuring Rick Ross & The-Dream,298
Demeanor,Pop Smoke Featuring Dua Lipa,299
transparentsoul,Willow Featuring Travis Barker,300
Am I The Only One,Aaron Lewis,301
30,Pop Smoke Featuring Bizzy Banks,302
"Jealousy, Jealousy",Olivia Rodrigo,303
Calling My Phone,Lil Tjay Featuring 6LACK,304
Breaking Up Was Easy In The 90's,Sam Hunt,305
The Jackie,Bas With J. Cole & Lil TJay,306
Follow You,Imagine Dragons,307
Volando,"Mora, Bad Bunny & Sech",308
4 Da Gang,42 Dugg & Roddy Ricch,309
De Museo,Bad Bunny,310
Wasting Time,Brent Faiyaz Featuring Drake,311
All I Know So Far,P!nk,312
Levitating,Dua Lipa Featuring DaBaby,313
Track Star,Mooski,314
Renegade,Big Red Machine Featuring Taylor Swift,315
Cry No More,G Herbo Featuring Polo G & Lil Tjay,316
Essence,Wizkid Featuring Tems,317
Made For You,Jake Owen,318
Having Our Way,Migos Featuring Drake,319
What's Next,Drake,320
Enough For You,Olivia Rodrigo,321
Juggernaut,"Tyler, The Creator Featuring Lil Uzi Vert & Pharrell Williams",322
Tell Em,Cochise & $NOT,323
Lemonhead,"Tyler, The Creator Featuring 42 Dugg",324
Lumberjack,"Tyler, The Creator",325
Almost Maybes,Jordan Davis,326
Hot Wind Blows,"Tyler, The Creator Featuring Lil Wayne",327
Corso,"Tyler, The Creator",328
I Don't Do Drugs,Doja Cat Featuring Ariana Grande,329
Sir Baudelaire,"Tyler, The Creator Featuring DJ Drama",330
Sweet / I Thought You Wanted To Dance,"Tyler, The Creator Featuring Brent Faiyaz & Fana Hues",331
Massa,"Tyler, The Creator",332
RunItUp,"Tyler, The Creator Featuring Teezo Touchdown",333
Manifesto,"Tyler, The Creator Featuring Domo Genesis",334
Wilshire,"Tyler, The Creator",335
Rise!,"Tyler, The Creator Featuring Daisy World",336
What You Know Bout Love,Pop Smoke,337
Time Today,Moneybagg Yo,338
Up,Cardi B,339
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,340
Nobody,Dylan Scott,341
No Return,Polo G Featuring The Kid LAROI & Lil Durk,342
No More Parties,Coi Leray Featuring Lil Durk,343
Quicksand,Morray,344
Gang Gang,Polo G & Lil Wayne,345
Pick Up Your Feelings,Jazmine Sullivan,346
Avalanche,Migos,347
We're Good,Dua Lipa,348
pride.is.the.devil,J. Cole & Lil Baby,349
Still Runnin,"Lil Baby, Lil Durk & Meek Mill",350
How It Feels,Lil Baby & Lil Durk,351
Black Hearted,Polo G,352
Painting Pictures,Polo G,353
Modern Day,Migos,354
Toxic,Polo G,355
Solar Power,Lorde,356
Malibu,Migos Featuring Polo G,357
Type Shit,Migos & Cardi B,358
Clueless,Polo G Featuring Pop Smoke & Fivio Foreign,359
Voice Of The Heroes,Lil Baby & Lil Durk,360
Heart Of A Giant,Polo G Featuring Rod Wave,361
Party Lyfe,Polo G Featuring DaBaby,362
Go Part 1,Polo G Featuring G Herbo,363
Epidemic,Polo G,364
Boom,Polo G,365
2040,Lil Baby & Lil Durk,366
"1 Step Forward, 3 Steps Back",Olivia Rodrigo,367
Bloody Canvas,Polo G,368
Who I Want,Lil Baby & Lil Durk,369
Back In Blood,Pooh Shiesty Featuring Lil Durk,370
Still Hood,Lil Baby & Lil Durk,371
Okay,Lil Baby & Lil Durk,372
Man Of My Word,Lil Baby & Lil Durk,373
Medical,Lil Baby & Lil Durk,374
Rich Off Pain,"Lil Baby, Lil Durk & Rod Wave",375
Lying,Lil Baby & Lil Durk,376
Snowflakes,Tom MacDonald,377
That's Facts,Lil Baby & Lil Durk,378
Your Power,Billie Eilish,379
Please,Lil Baby & Lil Durk,380
Up The Side,"Lil Baby, Lil Durk & Young Thug",381
Hope Ur OK,Olivia Rodrigo,382
If You Want To,Lil Baby & Lil Durk,383
Seeing Green,"Nicki Minaj, Drake & Lil Wayne",384
The Good Ones,Gabby Barrett,385
Hell Of A View,Eric Church,386
On Me,Lil Baby,387
Killer,Eminem Featuring Jack Harlow & Cordae,388
amari,J. Cole,389
Goosebumps,Travis Scott & HVME,390
Solid,Young Thug & Gunna Featuring Drake,391
Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,392
The Business,Tiesto,393
95.south,J. Cole,394
Drankin N Smokin,Future & Lil Uzi Vert,395
Hold On,Justin Bieber,396
Wasted On You,Morgan Wallen,397
Botella Tras Botella,Gera MX + Christian Nodal,398
interlude,J. Cole,399
applying.pressure,J. Cole,400
Streets,Doja Cat,401
100.mil',J. Cole & Bas,402
let.go.my.hand,"J. Cole, Bas & 6LACK",403
24 Hours,A Boogie Wit da Hoodie Featuring Lil Durk,404
punchin'.the.clock,J. Cole,405
the.climb.back,J. Cole,406
hunger.on.hillside,J. Cole & Bas,407
close,J. Cole,408
Fractions,Nicki Minaj,409
His & Hers,"Internet Money, Don Toliver & Lil Uzi Vert Featuring Gunna",410
White Teeth,YoungBoy Never Broke Again,411
Itty Bitty Piggy,Nicki Minaj,412
Street Runner,Rod Wave,413
La Noche de Anoche,Bad Bunny & Rosalia,414
Shottas (Lala),Moneybagg Yo,415
Never Left,Lil Tecca,416
Higher Power,Coldplay,417
Lady,Brett Young,418
Crocodile Teeth,Nicki Minaj & Skillibeng,419
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,420
Positions,Ariana Grande,421
You Broke Me First.,Tate McRae,422
Dakiti,Bad Bunny & Jhay Cortez,423
You're Mines Still,Yung Bleu Featuring Drake,424
Therefore I Am,Billie Eilish,425
What's Your Country Song,Thomas Rhett,426
Good Days,SZA,427
Just The Way,Parmalee x Blanco Brown,428
Ramen & OJ,Joyner Lucas & Lil Baby,429
Down To One,Luke Bryan,430
Hard For The Next,Moneybagg Yo & Future,431
What You Need,Don Toliver,432
I Did It,"DJ Khaled Featuring Post Malone, Megan Thee Stallion, Lil Baby & DaBaby",433
Tampa,Cico P,434
Big Gangsta,Kevin Gates,435
Hellcats & Trackhawks,Lil Durk,436
Let It Go,DJ Khaled Featuring Justin Bieber & 21 Savage,437
Richer,Rod Wave Featuring Polo G,438
Headshot,"Lil Tjay, Polo G & Fivio Foreign",439
Go!,Moneybagg Yo Featuring BIG30,440
Without You,The Kid LAROI & Miley Cyrus,441
Go Crazy,Chris Brown & Young Thug,442
34+35,Ariana Grande,443
Sorry Not Sorry,"DJ Khaled Featuring Nas, JAY-Z & James Fauntleroy",444
Somebody Like That,Tenille Arts,445
Body In Motion,"DJ Khaled Featuring Bryson Tiller, Lil Baby & Roddy Ricch",446
Big Paper,DJ Khaled Featuring Cardi B,447
Durag Activity,Baby Keem & Travis Scott,448
Final Warning,NLE Choppa,449
If Pain Was A Person,Moneybagg Yo,450
Thankful,DJ Khaled Featuring Lil Wayne & Jeremih,451
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,452
Willow,Taylor Swift,453
Damage,H.E.R.,454
Free Promo,Moneybagg Yo Featuring Polo G & Lil Durk,455
Just Say Det,Moneybagg Yo,456
Anyone,Justin Bieber,457
My Head And My Heart,Ava Max,458
How They Remember You,Rascal Flatts,459
Masterpiece,DaBaby,460
Long Live,Florida Georgia Line,461
Clear Da Air,Moneybagg Yo,462
Save Your Tears,The Weeknd,463
Starting Over,Chris Stapleton,464
Diamonds Dancing,Young Thug & Gunna Featuring Travis Scott,465
Cry Baby,Megan Thee Stallion Featuring DaBaby,466
Proud Of You,Young Thug Featuring Lil Uzi Vert & Yung Kayo,467
Came And Saw,Young Thug Featuring Rowdy Rebel,468
Paid The Fine,Young Thug & Gunna Featuring Lil Baby & YTB Trench,469
Momma's House,Dustin Lynch,470
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,471
Run It Up,Lil Tjay Featuring Offset & Moneybagg Yo,472
You Got It,VEDO,473
Monsters,All Time Low Featuring Demi Lovato & blackbear ,474
Slatty,Young Thug & Gunna Featuring Yak Gotti & Lil Duke,475
Ruff Ryders' Anthem,DMX,476
Party Up (Up In Here),DMX,477
X Gon' Give It To Ya,DMX,478
Love Story (Taylor's Version),Taylor Swift,479
Forever & Always (Taylor's Version),Taylor Swift,480
Fearless (Taylor's Version),Taylor Swift,481
You All Over Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Maren Morris,482
You Belong With Me (Taylor's Version),Taylor Swift,483
Shy Away,twenty one pilots,484
Fifteen (Taylor's Version),Taylor Swift,485
Big Purr (Prrdd),Coi Leray & Pooh Shiesty,486
Met Him Last Night,Demi Lovato Featuring Ariana Grande,487
The Way I Loved You (Taylor's Version),Taylor Swift,488
Dancing With The Devil,Demi Lovato,489
Real As It Gets,Lil Baby Featuring EST Gee,490
Put Your Records On,Ritt Momney,491
Whoopty,CJ,492
Lemon Pepper Freestyle,Drake Featuring Rick Ross,493
Film Out,BTS,494
Body,Megan Thee Stallion,495
As I Am,Justin Bieber Featuring Khalid,496
Girl Like Me,Black Eyed Peas X Shakira,497
Buss It,Erica Banks,498
Dynamite,BTS,499
SoulFly,Rod Wave,500
Gone Till November,Rod Wave,501
Don't Forget,Rod Wave,502
Blame On You,Rod Wave,503
All I Got,Rod Wave,504
Pills & Billz,Rod Wave,505
How The Game Go,Rod Wave,506
OMDB,Rod Wave,507
Clouds,NF,508
What's Love??,Rod Wave,509
Shock Da World,Rod Wave,510
Sneaky Links,Rod Wave,511
Better Together,Luke Combs,512
Good Time,Niko Moon,513
Unstable,Justin Bieber Featuring The Kid LAROI,514
Off My Face,Justin Bieber,515
2 Much,Justin Bieber,516
Deserve You,Justin Bieber,517
Die For You,Justin Bieber Featuring Dominic Fike,518
Love You Different,Justin Bieber Featuring BEAM,519
Loved By You,Justin Bieber Featuring Burna Boy,520
Somebody,Justin Bieber,521
Neighbors,Pooh Shiesty Featuring BIG30,522
Bandido,Myke Towers & Juhn,523
Beers And Sunshine,Darius Rucker,524
Throat Baby (Go Baby),BRS Kash,525
On The Ground,ROSE,526
Lost,NF Featuring Hopsin,527
Baila Conmigo,Selena Gomez With Rauw Alejandro,528
Like I Want You,Giveon,529
Daywalker!,Machine Gun Kelly & CORPSE,530
Opp Stoppa,YBN Nahmir Featuring 21 Savage,531
Still Trappin',Lil Durk & King Von,532
Finesse Out The Gang Way,Lil Durk Featuring Lil Baby,533
Undivided,Tim McGraw & Tyler Hubbard,534
Holy,Justin Bieber Featuring Chance The Rapper,535
Golden,Harry Styles,536
Lifestyle,Jason Derulo Featuring Adam Levine,537
Moonwalking In Calabasas,DDG,538
Tyler Herro,Jack Harlow,539
Somebody's Problem,Morgan Wallen,540
Cover Me Up,Morgan Wallen,541
Life's A Mess II,"Juice WRLD, Clever & Post Malone",542
AP,Pop Smoke,543
I Hope,Gabby Barrett Featuring Charlie Puth,544
Bang!,AJR,545
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,546
Lonely,Justin Bieber & benny blanco,547
Laugh Now Cry Later,Drake Featuring Lil Durk,548
Only Wanna Be With You,Post Malone,549
Hole In The Bottle,Kelsea Ballerini,550
Bichota,Karol G,551
Test Drive,Ariana Grande,552
Hit Bout It,Lil Yachty Featuring Kodak Black,553
Chicken Tendies,Clinton Kane,554
ZaZa,6ix9ine,555
Afterglow,Ed Sheeran,556
Monster,Shawn Mendes & Justin Bieber,557
Before You Go,Lewis Capaldi,558
What It Feels Like,Nipsey Hussle & JAY-Z,559
So Done,The Kid LAROI,560
Happy Does,Kenny Chesney,561
"Big, Big Plans",Chris Lane,562
Back To The Streets,Saweetie Featuring Jhene Aiko,563
Bad Boy,Juice WRLD & Young Thug,564
Kings & Queens,Ava Max,565
Rockstar,DaBaby Featuring Roddy Ricch,566
GNF (OKOKOK),Polo G,567
Provide,G-Eazy Featuring Chris Brown & Mark Morrison,568
865,Morgan Wallen,569
Box Of Churches,Pooh Shiesty Featuring 21 Savage,570
Dangerous,Morgan Wallen,571
Warning,Morgan Wallen,572
Still Goin Down,Morgan Wallen,573
Prisoner,Miley Cyrus Featuring Dua Lipa,574
Skin,Sabrina Carpenter,575
7 Summers,Morgan Wallen,576
More Than My Hometown,Morgan Wallen,577
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",578
Should've Ducked,Lil Durk Featuring Pooh Shiesty,579
Diamonds,Sam Smith,580
Gravity,"Brent Faiyaz & DJ Dahi Featuring Tyler, The Creator",581
Holiday,Lil Nas X,582
Stay Down,"Lil Durk, 6LACK & Young Thug",583
Kanye Krazy,Lil Durk,584
Backdoor,Lil Durk,585
Fake Woke,Tom MacDonald,586
Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,587
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,588
Lo Vas A Olvidar,Billie Eilish & ROSALIA,589
Take You Dancing,Jason Derulo,590
Hit Different,SZA Featuring Ty Dolla $ign,591
Champagne Night,Lady A,592
Kacey Talk,YoungBoy Never Broke Again,593
Adderall (Corvette Corvette),Popp Hunna,594
Antes,Anuel AA & Ozuna,595
I Should Probably Go To Bed,Dan + Shay,596
WAP,Cardi B Featuring Megan Thee Stallion,597
Love You Like I Used To,Russell Dickerson,598
De Una Vez,Selena Gomez,599
Better Days,Ant Clemons Featuring Justin Timberlake,600
Hawai,Maluma & The Weeknd,601
B.S.,Jhene Aiko Featuring H.E.R.,602
Neon Eyes,Morgan Wallen,603
More Surprised Than Me,Morgan Wallen,604
Livin' The Dream,Morgan Wallen,605
Whiskey'd My Way,Morgan Wallen,606
Your Bartender,Morgan Wallen,607
Outlaw,Morgan Wallen Featuring Ben Burgess,608
Only Thing That's Gone,Morgan Wallen Featuring Chris Stapleton,609
This Bar,Morgan Wallen,610
Wonderin' Bout The Wind,Morgan Wallen,611
Girl Like Me,Jazmine Sullivan Featuring H.E.R.,612
Midnight Sky,Miley Cyrus,613
Happy Anywhere,Blake Shelton Featuring Gwen Stefani,614
Pretty Heart,Parker McCollum,615
Watermelon Sugar,Harry Styles,616
Ain't Always The Cowboy,Jon Pardi,617
Way Out,Jack Harlow Featuring Big Sean,618
Some Girls,Jameson Rodgers,619
Took Her To The O,King Von,620
Wonder,Shawn Mendes,621
Everywhere But On,Matt Stell,622
Reminds Me Of You,The Kid LAROI & Juice WRLD,623
All I Want For Christmas Is You,Mariah Carey,624
Rockin' Around The Christmas Tree,Brenda Lee,625
Jingle Bell Rock,Bobby Helms,626
A Holly Jolly Christmas,Burl Ives,627
It's The Most Wonderful Time Of The Year,Andy Williams,628
Run Rudolph Run,Chuck Berry,629
Feliz Navidad,Jose Feliciano,630
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,631
The Christmas Song (Merry Christmas To You),Nat King Cole,632
Underneath The Tree,Kelly Clarkson,633
Redman,Lil Durk,634
Slay3r,Playboi Carti,635
Go2DaMoon,Playboi Carti Featuring Kanye West,636
Refugee,Lil Durk,637
Take Me Home For Christmas,Dan + Shay,638
Vamp Anthem,Playboi Carti,639
New N3on,Playboi Carti,640
Death Ain't Easy,Lil Durk,641
M3tamorphosis,Playboi Carti Featuring Kid Cudi,642
Last Christmas,Wham!,643
Sleigh Ride,The Ronettes,644
